Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
38 100.00 1500.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
39 100.00 1475.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
40 100.00 1450.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
41 100.00 1425.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
42 100.00 1400.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
43 100.00 1375.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
44 100.00 1350.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
45 100.00 1325.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
46 100.00 1300.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
47 100.00 1275.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
48 100.00 1250.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
49 100.00 1225.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
50 100.00 1200.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
51 100.00 1225.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
52 100.00 1223.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
53 100.00 1221.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
54 100.00 1219.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
55 100.00 1217.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
56 100.00 1215.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
57 100.00 1213.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
