System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2-(QFM) fO2(absolute) rhol rhos viscosity aH2O chisqr
29 100.00 1207.00 100.050000 1.0000000000000000 1.000000 -1204560.431782 271.717510 37.544928 149.781350 -219.879929 2652.455285 0.079 -8.137 2.664807 0.000000 2.245 n/a n/a
30 100.00 1205.00 100.050000 1.0000000000000000 1.000000 -1204853.456033 271.519407 37.539623 146.246233 -219.906679 2652.455285 0.076 -8.162 2.665184 0.000000 2.253 n/a n/a
31 100.00 1203.00 100.050000 0.9985576247766444 0.998827 -1205208.676565 271.278925 37.531214 146.171070 -219.842806 2649.459099 0.078 -8.182 2.665063 3.277301 2.267 n/a n/a
32 100.00 1650.00 100.050000 1.0000000000000000 1.000000 -1138200.054922 310.937514 38.719966 149.813425 -213.954671 2652.455285 0.227 -4.186 2.583938 0.000000 0.757 n/a n/a
33 100.00 1625.00 100.050000 1.0000000000000000 1.000000 -1141945.368715 308.977256 38.653655 149.811679 -214.289054 2652.455285 0.232 -4.349 2.588371 0.000000 0.822 n/a n/a
34 100.00 1600.00 100.050000 1.0000000000000000 1.000000 -1145690.638877 306.991031 38.587343 149.809934 -214.623436 2652.455285 0.236 -4.517 2.592819 0.000000 0.890 n/a n/a
35 100.00 1575.00 100.050000 1.0000000000000000 1.000000 -1149435.865422 304.978141 38.521032 149.808189 -214.957819 2652.455285 0.239 -4.690 2.597282 0.000000 0.959 n/a n/a
36 100.00 1550.00 100.050000 1.0000000000000000 1.000000 -1153181.048311 302.937861 38.454720 149.806441 -215.292201 2652.455285 0.240 -4.870 2.601761 0.000000 1.030 n/a n/a
37 100.00 1525.00 100.050000 1.0000000000000000 1.000000 -1156926.187454 300.869433 38.388409 149.804689 -215.626584 2652.455285 0.240 -5.056 2.606255 0.000000 1.103 n/a n/a
38 100.00 1500.00 100.050000 1.0000000000000000 1.000000 -1160671.282715 298.772070 38.322098 149.802930 -215.960966 2652.455285 0.239 -5.249 2.610765 0.000000 1.177 n/a n/a
39 100.00 1475.00 100.050000 1.0000000000000000 1.000000 -1164416.333906 296.644950 38.255786 149.801163 -216.295349 2652.455285 0.236 -5.449 2.615291 0.000000 1.255 n/a n/a
40 100.00 1450.00 100.050000 1.0000000000000000 1.000000 -1168161.340801 294.487216 38.189475 149.799386 -216.629731 2652.455285 0.231 -5.657 2.619832 0.000000 1.334 n/a n/a
41 100.00 1425.00 100.050000 1.0000000000000000 1.000000 -1171906.303129 292.297972 38.123164 149.797598 -216.964113 2652.455285 0.225 -5.872 2.624389 0.000000 1.416 n/a n/a
42 100.00 1400.00 100.050000 1.0000000000000000 1.000000 -1175651.220588 290.076286 38.056852 149.795797 -217.298496 2652.455285 0.217 -6.095 2.628962 0.000000 1.500 n/a n/a
43 100.00 1375.00 100.050000 1.0000000000000000 1.000000 -1179396.092839 287.821179 37.990541 149.793981 -217.632878 2652.455285 0.207 -6.327 2.633550 0.000000 1.586 n/a n/a
44 100.00 1350.00 100.050000 1.0000000000000000 1.000000 -1183140.919516 285.531631 37.924229 149.792150 -217.967261 2652.455285 0.194 -6.567 2.638155 0.000000 1.676 n/a n/a
45 100.00 1325.00 100.050000 1.0000000000000000 1.000000 -1186885.700227 283.206572 37.857918 149.790304 -218.301643 2652.455285 0.180 -6.817 2.642776 0.000000 1.768 n/a n/a
46 100.00 1300.00 100.050000 1.0000000000000000 1.000000 -1190630.434562 280.844883 37.791607 149.788440 -218.636026 2652.455285 0.163 -7.077 2.647413 0.000000 1.863 n/a n/a
47 100.00 1275.00 100.050000 1.0000000000000000 1.000000 -1194375.122090 278.445391 37.725295 149.786559 -218.970408 2652.455285 0.144 -7.346 2.652067 0.000000 1.961 n/a n/a
48 100.00 1250.00 100.050000 1.0000000000000000 1.000000 -1198119.762365 276.006865 37.658984 149.784660 -219.304791 2652.455285 0.123 -7.627 2.656737 0.000000 2.062 n/a n/a
49 100.00 1225.00 100.050000 1.0000000000000000 1.000000 -1201864.354934 273.528013 37.592673 149.782742 -219.639173 2652.455285 0.098 -7.919 2.661423 0.000000 2.167 n/a n/a
50 100.00 1200.00 100.050000 0.9958990495147826 0.996665 -1205762.347628 270.903466 37.517558 146.033293 -219.716744 2643.933079 0.082 -8.212 2.664701 3.279647 2.290 n/a n/a
51 100.00 1225.00 100.050000 1.0000000000000000 1.000000 -1201864.354934 273.528013 37.592673 149.782742 -219.639173 2652.455285 0.098 -7.919 2.661423 0.000000 2.167 n/a n/a
52 100.00 1223.00 100.050000 1.0000000000000000 1.000000 -1202163.920264 273.327922 37.587368 149.782588 -219.665924 2652.455285 0.096 -7.943 2.661799 0.000000 2.176 n/a n/a
53 100.00 1221.00 100.050000 1.0000000000000000 1.000000 -1202463.485287 273.127564 37.582063 149.782434 -219.692674 2652.455285 0.094 -7.967 2.662174 0.000000 2.184 n/a n/a
54 100.00 1219.00 100.050000 1.0000000000000000 1.000000 -1202763.050000 272.926938 37.576758 149.782279 -219.719425 2652.455285 0.092 -7.991 2.662550 0.000000 2.193 n/a n/a
55 100.00 1217.00 100.050000 1.0000000000000000 1.000000 -1203062.614404 272.726044 37.571453 149.782125 -219.746176 2652.455285 0.090 -8.015 2.662926 0.000000 2.201 n/a n/a
56 100.00 1215.00 100.050000 1.0000000000000000 1.000000 -1203362.178499 272.524879 37.566148 149.781970 -219.772926 2652.455285 0.087 -8.040 2.663302 0.000000 2.210 n/a n/a
57 100.00 1213.00 100.050000 1.0000000000000000 1.000000 -1203661.742285 272.323444 37.560843 149.781815 -219.799677 2652.455285 0.085 -8.064 2.663678 0.000000 2.219 n/a n/a
58 100.00 1211.00 100.050000 1.0000000000000000 1.000000 -1203961.305761 272.121738 37.555538 149.781660 -219.826427 2652.455285 0.083 -8.088 2.664054 0.000000 2.227 n/a n/a
59 100.00 1209.00 100.050000 1.0000000000000000 1.000000 -1204260.868927 271.919761 37.550233 149.781505 -219.853178 2652.455285 0.081 -8.113 2.664431 0.000000 2.236 n/a n/a
60 100.00 1207.00 100.050000 1.0000000000000000 1.000000 -1204560.431782 271.717510 37.544928 149.781350 -219.879929 2652.455285 0.079 -8.137 2.664807 0.000000 2.245 n/a n/a
61 100.00 1205.00 100.050000 1.0000000000000000 1.000000 -1204853.456033 271.519407 37.539623 146.246233 -219.906679 2652.455285 0.076 -8.162 2.665184 0.000000 2.253 n/a n/a
62 100.00 1203.00 100.050000 0.9985576247759439 0.998827 -1205208.676565 271.278925 37.531214 146.171070 -219.842806 2649.459099 0.078 -8.182 2.665063 3.277301 2.267 n/a n/a
63 100.00 1170.00 100.050000 0.9361742752845664 0.942636 -1212354.908900 266.375297 37.321011 143.780726 -212.624810 2547.656019 0.156 -8.483 2.662419 2.982760 2.511 n/a n/a
64 100.00 1650.00 100.050000 1.0000000000000000 1.000000 -1138200.054922 310.937514 38.719966 149.813425 -213.954671 2652.455285 0.227 -4.186 2.583938 0.000000 0.757 n/a n/a
65 100.00 1625.00 100.050000 1.0000000000000000 1.000000 -1141945.368715 308.977256 38.653655 149.811679 -214.289054 2652.455285 0.232 -4.349 2.588371 0.000000 0.822 n/a n/a
66 100.00 1600.00 100.050000 1.0000000000000000 1.000000 -1145690.638877 306.991031 38.587343 149.809934 -214.623436 2652.455285 0.236 -4.517 2.592819 0.000000 0.890 n/a n/a
67 100.00 1575.00 100.050000 1.0000000000000000 1.000000 -1149435.865422 304.978141 38.521032 149.808189 -214.957819 2652.455285 0.239 -4.690 2.597282 0.000000 0.959 n/a n/a
68 100.00 1550.00 100.050000 1.0000000000000000 1.000000 -1153181.048311 302.937861 38.454720 149.806441 -215.292201 2652.455285 0.240 -4.870 2.601761 0.000000 1.030 n/a n/a
69 100.00 1525.00 100.050000 1.0000000000000000 1.000000 -1156926.187454 300.869433 38.388409 149.804689 -215.626584 2652.455285 0.240 -5.056 2.606255 0.000000 1.103 n/a n/a
70 100.00 1500.00 100.050000 1.0000000000000000 1.000000 -1160671.282715 298.772070 38.322098 149.802930 -215.960966 2652.455285 0.239 -5.249 2.610765 0.000000 1.177 n/a n/a
71 100.00 1475.00 100.050000 1.0000000000000000 1.000000 -1164416.333906 296.644950 38.255786 149.801163 -216.295349 2652.455285 0.236 -5.449 2.615291 0.000000 1.255 n/a n/a
72 100.00 1450.00 100.050000 1.0000000000000000 1.000000 -1168161.340801 294.487216 38.189475 149.799386 -216.629731 2652.455285 0.231 -5.657 2.619832 0.000000 1.334 n/a n/a
73 100.00 1425.00 100.050000 1.0000000000000000 1.000000 -1171906.303129 292.297972 38.123164 149.797598 -216.964113 2652.455285 0.225 -5.872 2.624389 0.000000 1.416 n/a n/a
74 100.00 1400.00 100.050000 1.0000000000000000 1.000000 -1175651.220588 290.076286 38.056852 149.795797 -217.298496 2652.455285 0.217 -6.095 2.628962 0.000000 1.500 n/a n/a
75 100.00 1375.00 100.050000 1.0000000000000000 1.000000 -1179396.092839 287.821179 37.990541 149.793981 -217.632878 2652.455285 0.207 -6.327 2.633550 0.000000 1.586 n/a n/a
76 100.00 1350.00 100.050000 1.0000000000000000 1.000000 -1183140.919516 285.531631 37.924229 149.792150 -217.967261 2652.455285 0.194 -6.567 2.638155 0.000000 1.676 n/a n/a
77 100.00 1325.00 100.050000 1.0000000000000000 1.000000 -1186885.700227 283.206572 37.857918 149.790304 -218.301643 2652.455285 0.180 -6.817 2.642776 0.000000 1.768 n/a n/a
78 100.00 1300.00 100.050000 1.0000000000000000 1.000000 -1190630.434562 280.844883 37.791607 149.788440 -218.636026 2652.455285 0.163 -7.077 2.647413 0.000000 1.863 n/a n/a
79 100.00 1275.00 100.050000 1.0000000000000000 1.000000 -1194375.122090 278.445391 37.725295 149.786559 -218.970408 2652.455285 0.144 -7.346 2.652067 0.000000 1.961 n/a n/a
80 100.00 1250.00 100.050000 1.0000000000000000 1.000000 -1198119.762365 276.006865 37.658984 149.784660 -219.304791 2652.455285 0.123 -7.627 2.656737 0.000000 2.062 n/a n/a
81 100.00 1225.00 100.050000 1.0000000000000000 1.000000 -1201864.354934 273.528013 37.592673 149.782742 -219.639173 2652.455285 0.098 -7.919 2.661423 0.000000 2.167 n/a n/a
82 100.00 1200.00 100.050000 0.9958990495149397 0.996665 -1205762.347628 270.903466 37.517558 146.033293 -219.716744 2643.933079 0.082 -8.212 2.664701 3.279647 2.290 n/a n/a
83 100.00 1225.00 100.050000 1.0000000000000000 1.000000 -1201864.354934 273.528013 37.592673 149.782742 -219.639173 2652.455285 0.098 -7.919 2.661423 0.000000 2.167 n/a n/a
84 100.00 1223.00 100.050000 1.0000000000000000 1.000000 -1202163.920264 273.327922 37.587368 149.782588 -219.665924 2652.455285 0.096 -7.943 2.661799 0.000000 2.176 n/a n/a
85 100.00 1221.00 100.050000 1.0000000000000000 1.000000 -1202463.485287 273.127564 37.582063 149.782434 -219.692674 2652.455285 0.094 -7.967 2.662174 0.000000 2.184 n/a n/a
86 100.00 1219.00 100.050000 1.0000000000000000 1.000000 -1202763.050000 272.926938 37.576758 149.782279 -219.719425 2652.455285 0.092 -7.991 2.662550 0.000000 2.193 n/a n/a
87 100.00 1217.00 100.050000 1.0000000000000000 1.000000 -1203062.614404 272.726044 37.571453 149.782125 -219.746176 2652.455285 0.090 -8.015 2.662926 0.000000 2.201 n/a n/a
88 100.00 1215.00 100.050000 1.0000000000000000 1.000000 -1203362.178499 272.524879 37.566148 149.781970 -219.772926 2652.455285 0.087 -8.040 2.663302 0.000000 2.210 n/a n/a
89 100.00 1213.00 100.050000 1.0000000000000000 1.000000 -1203661.742285 272.323444 37.560843 149.781815 -219.799677 2652.455285 0.085 -8.064 2.663678 0.000000 2.219 n/a n/a
90 100.00 1211.00 100.050000 1.0000000000000000 1.000000 -1203961.305761 272.121738 37.555538 149.781660 -219.826427 2652.455285 0.083 -8.088 2.664054 0.000000 2.227 n/a n/a
91 100.00 1209.00 100.050000 1.0000000000000000 1.000000 -1204260.868927 271.919761 37.550233 149.781505 -219.853178 2652.455285 0.081 -8.113 2.664431 0.000000 2.236 n/a n/a
92 100.00 1207.00 100.050000 1.0000000000000000 1.000000 -1204560.431782 271.717510 37.544928 149.781350 -219.879929 2652.455285 0.079 -8.137 2.664807 0.000000 2.245 n/a n/a
93 100.00 1205.00 100.050000 1.0000000000000000 1.000000 -1204853.456033 271.519407 37.539623 146.246233 -219.906679 2652.455285 0.076 -8.162 2.665184 0.000000 2.253 n/a n/a
94 100.00 1203.00 100.050000 0.9985576247764095 0.998827 -1205208.676565 271.278925 37.531214 146.171070 -219.842806 2649.459099 0.078 -8.182 2.665063 3.277301 2.267 n/a n/a
95 100.00 1170.00 100.050000 0.9361742752837883 0.942636 -1212354.908900 266.375297 37.321011 143.780726 -212.624810 2547.656019 0.156 -8.483 2.662419 2.982760 2.511 n/a n/a
